Order_ID,Order_Date,Region,City,Category,Sales_Channel,Sales_Rep,Payment_Method,Customer_Segment,Units_Sold,Unit_Price,Discount_Pct,Shipping_Cost,Customer_Age,Customer_Rating,Return_Flag,Revenue,Profit,Month,Month_Name,Quarter,Week,Day_of_Week
ORD-10000,2023-10-12,East,Kolkata,Sports,Wholesale,Eva,Credit Card,Retail,39,200.38,0,3.43,19,4.3,0,7814.82,1907.94,10,Oct,Q4,41,Thursday
ORD-10001,2023-05-02,South,Chennai,Electronics,Online,David,UPI,Corporate,45,88.26,10,142.7,55,2.5,0,3574.53,238.43,5,May,Q2,18,Tuesday
ORD-10002,2023-10-05,West,Mumbai,Electronics,Online,Alice,EMI,SME,29,346.89,0,198.15,61,3.0,0,10059.81,3312.31,10,Oct,Q4,40,Thursday
ORD-10003,2023-04-03,North,Lucknow,Electronics,Wholesale,Bob,Credit Card,Corporate,2,439.73,15,107.27,29,3.2,1,747.54,98.94,4,Apr,Q2,14,Monday
ORD-10004,2023-05-09,West,Pune,Clothing,Online,Grace,Credit Card,SME,7,269.0,15,125.79,59,4.9,0,1600.55,363.46,5,May,Q2,19,Tuesday
ORD-10005,2023-07-18,East,Bhubaneswar,Electronics,Online,Bob,Net Banking,Retail,8,48.37,5,53.09,23,4.5,0,367.61,-9.0,7,Jul,Q3,29,Tuesday
ORD-10006,2023-11-02,South,Bangalore,Clothing,In-Store,Alice,Net Banking,Corporate,25,344.79,0,51.87,45,3.2,0,8619.75,2258.29,11,Nov,Q4,44,Thursday
ORD-10007,2023-09-30,North,Delhi,Electronics,In-Store,Alice,UPI,Corporate,4,257.91,0,180.19,61,4.5,0,1031.64,217.15,9,Sep,Q3,39,Saturday
ORD-10008,2023-06-18,West,Ahmedabad,Furniture,Online,Grace,UPI,Retail,12,139.12,5,91.54,37,3.1,1,1585.97,395.05,6,Jun,Q2,24,Sunday
ORD-10009,2023-09-26,North,Lucknow,Clothing,Online,Grace,Net Banking,SME,14,294.17,0,152.3,58,4.2,1,4118.38,1160.69,9,Sep,Q3,39,Tuesday
ORD-10010,2023-01-13,West,Mumbai,Sports,In-Store,Eva,Cash,Retail,6,282.51,20,164.68,61,4.8,0,1356.05,351.47,1,Jan,Q1,2,Friday
ORD-10011,2023-02-14,East,Patna,Electronics,In-Store,Alice,UPI,Corporate,38,411.5,10,181.41,55,3.7,0,14073.3,3454.34,2,Feb,Q1,7,Tuesday
ORD-10012,2023-07-12,South,Chennai,Electronics,In-Store,Carol,Credit Card,Retail,31,79.33,0,52.82,40,4.8,1,2459.23,447.17,7,Jul,Q3,28,Wednesday
